,日期,星期,最高气温,最低气温,天气,风向,级数
0,2023-09-01,星期五,29℃,21℃,阴转多云,东北风,3级
1,2023-09-02,星期六,29℃,23℃,多云,东北风,3级
2,2023-09-03,星期日,29℃,24℃,小雨转多云,东北风,2级
3,2023-09-04,星期一,31℃,24℃,小雨转多云,东风,2级
4,2023-09-05,星期二,30℃,26℃,多云,东北风,3级
5,2023-09-06,星期三,31℃,25℃,晴转多云,东北风,3级
6,2023-09-07,星期四,31℃,24℃,晴转多云,东北风,2级
7,2023-09-08,星期五,30℃,22℃,晴转多云,东风,2级
8,2023-09-09,星期六,30℃,21℃,晴,东风,2级
9,2023-09-10,星期日,31℃,21℃,多云,东南风,2级
10,2023-09-11,星期一,31℃,24℃,中雨转小雨,东南风,3级
11,2023-09-12,星期二,29℃,25℃,中雨转小雨,东风,2级
12,2023-09-13,星期三,28℃,24℃,小雨转中雨,东南风,2级
